 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  48   48      171  82    0.99   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  61   62      169  77    2.77   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  64   64      234  82    6.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  79   81      270  72    8.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  62   63      212  80    6.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 110  110      326  73   10.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  56   56      228  85    6.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 124  124      492  68   13.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 151  152      530  56   12.61   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 127  127      348  69    9.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 128  129      334  72    8.87   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 133  134      297  72    8.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 118  119      319  72    8.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 129  127      297  72    8.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 126  127      305  74    8.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 133  134      302  73    8.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 120  121      288  77    8.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 115  116      283  67    7.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       84  91    1.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  55   55      151  80    1.44   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  67   67      162  75    2.02   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  18   18       84  93    0.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   17       73  94    1.16   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       44  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       21  97    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       52  96    0.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       41  95    0.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       76  94    1.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  77   78      185  73    1.53   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  95   96      238  67    2.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  85   86      254  70    7.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 102  103      294  70    5.62   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  80   81      189  73    9.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  99  100      216  64    7.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 102  104      251  62    4.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 138  139      274  51    5.68   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 124  124      262  58    6.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  46   46      138  83    1.55   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       31  97    0.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  15   15       42  95    0.46   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   14       41  95    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       92  91    1.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  22   22       53  92    1.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    1       16  99    0.04   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  43   44      119  84    1.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       64  97    0.16   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19      101  93    1.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    5       64  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  80   80      201  68    1.77   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
